transaction_id,customer_id,transaction_timestamp,merchant_id,merchant_name,product_category,product_name,amount,fee_amount,cashback_amount,loyalty_points,payment_method,transaction_status,device_type,location_type,currency,updated_at
TXN_20241102_001002,USER_0503,2024-11-02 00:37:25,MERCH_0344,Merchant_0343,Bills,Broadband Bill,1880.53,47.57,39.21,105,Debit Card,Successful,Android,Urban,INR,2024-11-04 11:42:58
TXN_20241102_014788,USER_0977,2024-11-01 15:36:28,MERCH_0352,Merchant_0351,Groceries,Fish 1kg,2543.08,70.42,84.5,152,Wallet Balance,Successful,Android,Urban,INR,2024-11-04 13:15:35
TXN_20241102_004227,USER_0670,2024-11-02 19:41:08,MERCH_0176,Merchant_0175,Food,Biryani Meal,1505.2,44.06,58.71,117,Bank Transfer,Successful,iOS,Rural,INR,2024-11-04 16:59:44
TXN_20241103_013934,USER_0713,2024-11-03 21:30:30,MERCH_0202,Merchant_0201,Travel,Bus Ticket Volvo,2243.66,49.75,109.21,211,Debit Card,Successful,Android,Urban,INR,2024-11-04 03:24:03
TXN_20241103_014411,USER_0499,2024-11-03 10:40:46,MERCH_0334,Merchant_0333,Education,School Fee Payment,2145.57,51.54,102.04,129,UPI,Successful,Android,Urban,INR,2024-11-04 15:06:20
TXN_20241101_008340,USER_0225,2024-11-01 01:11:56,MERCH_0394,Merchant_0393,Fashion,Zara Dress,1523.47,33.85,58.47,144,Debit Card,Successful,Android,Urban,INR,2024-11-04 18:01:11
TXN_20241102_000249,USER_0367,2024-11-02 12:19:18,MERCH_0255,Merchant_0254,Health,Blood Test Package,1518.74,31.24,54.83,96,Credit Card,Successful,Android,Urban,INR,2024-11-04 13:56:29
TXN_20241102_000480,USER_0930,2024-11-02 04:41:20,MERCH_0276,Merchant_0275,Fashion,Puma RS-X,335.13,6.46,4.54,23,UPI,Successful,Web,Suburban,INR,2024-11-04 11:22:38
TXN_20241101_003755,USER_0085,2024-11-01 12:26:42,MERCH_0327,Merchant_0326,Health,Yoga Mat,904.83,20.13,26.13,57,UPI,Successful,Android,Urban,INR,2024-11-04 09:50:47
TXN_20241101_008303,USER_0748,2024-11-01 20:27:37,MERCH_0270,Merchant_0269,Travel,Cab Ride 20km,878.69,21.75,18.09,56,UPI,Successful,Android,Urban,INR,2024-11-04 20:06:44
