transaction_id,customer_id,transaction_timestamp,merchant_id,merchant_name,product_category,product_name,amount,fee_amount,cashback_amount,loyalty_points,payment_method,transaction_status,device_type,location_type,currency,updated_at
TXN_20241104_000001,USER_0439,2024-11-04 08:17:04,MERCH_0400,Merchant_0399,Education,Notebook Pack,5165.63,77.71,168.77,344,UPI,Successful,Android,Urban,INR,2024-11-04 08:17:04
TXN_20241104_000002,USER_0974,2024-11-04 13:45:02,MERCH_0316,Merchant_0315,Bills,Electricity Bill,828.38,18.82,23.15,70,UPI,Successful,Web,Urban,INR,2024-11-04 13:45:02
TXN_20241104_000003,USER_0442,2024-11-04 15:34:35,MERCH_0072,Merchant_0071,Health,Fitness Band,5999.33,97.9,185.57,452,UPI,Successful,iOS,Suburban,INR,2024-11-04 15:34:35
TXN_20241104_000004,USER_0780,2024-11-04 06:16:53,MERCH_0418,Merchant_0417,Bills,Broadband Bill,1700.83,50.42,55.71,137,UPI,Successful,Android,Suburban,INR,2024-11-04 06:16:53
TXN_20241104_000005,USER_0154,2024-11-04 17:05:26,MERCH_0467,Merchant_0466,Food,Biryani Meal,4256.29,94.08,62.95,248,UPI,Successful,Android,Urban,INR,2024-11-04 17:05:26
TXN_20241104_000006,USER_0518,2024-11-04 16:00:47,MERCH_0120,Merchant_0119,Groceries,Coffee Powder 500g,839.4,22.97,9.05,47,UPI,Successful,Android,Urban,INR,2024-11-04 16:00:47
TXN_20241104_000007,USER_0593,2024-11-04 16:15:35,MERCH_0344,Merchant_0343,Bills,Mobile Recharge,252.94,5.88,9.95,12,Credit Card,Successful,iOS,Suburban,INR,2024-11-04 16:15:35
TXN_20241104_000008,USER_0332,2024-11-04 14:16:30,MERCH_0269,Merchant_0268,Fashion,Peter England Suit,347.65,9.46,1.38,19,UPI,Successful,Web,Rural,INR,2024-11-04 14:16:30
TXN_20241104_000009,USER_0945,2024-11-04 04:04:04,MERCH_0255,Merchant_0254,Groceries,Chicken 1kg,22090.49,410.95,368.87,1107,UPI,Successful,Android,Urban,INR,2024-11-04 04:04:04
TXN_20241104_000010,USER_0902,2024-11-04 05:42:45,MERCH_0006,Snapdeal,Travel,Flight Delhi-Mumbai,994.32,14.92,10.98,76,Credit Card,Successful,iOS,Urban,INR,2024-11-04 05:42:45
TXN_20241104_000011,USER_0677,2024-11-04 05:04:25,MERCH_0121,Merchant_0120,Entertainment,Book Novel,5410.83,140.67,6.57,277,UPI,Successful,Android,Urban,INR,2024-11-04 05:04:25
TXN_20241104_000012,USER_0315,2024-11-04 06:52:36,MERCH_0065,Merchant_0064,Bills,Electricity Bill,493.86,9.9,4.07,27,UPI,Successful,iOS,Suburban,INR,2024-11-04 06:52:36
